rule_op_id,op_id,vhc_id,net_sys_id,net_lyr_id,net_id,nod_sys_id,nod_lyr_id,nod_id,add_at,net_ver,is_out_bound,node_passenger_rad,cur,inc,dec,lon,lat,cap_time_flag,diff_time_ms,max_delay_ms
5,5,13,,,,,,,2026-08-05 17:00:00.150614,,true,100,7,4,11,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:00:30.150614,,true,100,3,18,13,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:01:00.150614,,true,100,7,2,13,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:01:30.150614,,true,100,1,1,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:02:00.150614,,true,100,6,8,19,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:02:30.150614,,true,100,6,3,18,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:03:00.150614,,true,100,4,4,4,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:03:30.150614,,true,100,8,16,14,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:04:00.150614,,true,100,4,11,18,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:04:30.150614,,true,100,5,10,4,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:05:00.150614,,true,100,15,12,18,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:05:30.150614,,true,100,0,1,20,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:06:00.150614,,true,100,12,6,11,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:06:30.150614,,true,100,9,12,0,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:07:00.150614,,true,100,12,17,5,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:07:30.150614,,true,100,4,18,9,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:08:00.150614,,true,100,19,19,12,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:08:30.150614,,true,100,17,15,2,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:09:00.150614,,true,100,5,5,7,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:09:30.150614,,true,100,20,17,1,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:10:00.150614,,true,100,7,7,6,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:10:30.150614,,true,100,13,20,11,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:11:00.150614,,true,100,15,16,13,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:11:30.150614,,true,100,17,0,4,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:12:00.150614,,true,100,8,18,18,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:12:30.150614,,true,100,11,0,6,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:13:00.150614,,true,100,15,5,8,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:13:30.150614,,true,100,7,3,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:14:00.150614,,true,100,0,13,3,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:14:30.150614,,true,100,16,7,18,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:15:00.150614,,true,100,8,0,15,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:15:30.150614,,true,100,19,13,5,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:16:00.150614,,true,100,16,17,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:16:30.150614,,true,100,5,15,7,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:17:00.150614,,true,100,18,19,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:17:30.150614,,true,100,19,16,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:18:00.150614,,true,100,19,10,20,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:18:30.150614,,true,100,2,2,17,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:19:00.150614,,true,100,9,18,1,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:19:30.150614,,true,100,18,20,8,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:20:00.150614,,true,100,12,0,6,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:20:30.150614,,true,100,6,6,20,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:21:00.150614,,true,100,17,3,9,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:21:30.150614,,true,100,4,16,11,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:22:00.150614,,true,100,1,7,0,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:22:30.150614,,true,100,14,5,16,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:23:00.150614,,true,100,5,1,6,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:23:30.150614,,true,100,11,1,1,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:24:00.150614,,true,100,10,16,15,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:24:30.150614,,true,100,10,10,19,,,2,200000,150000
5,5,13,,,,,,,2026-08-05 17:25:00.150614,,true,100,18,11,3,,,2,200000,150000
